title,steps,description,category
Weapon Master,5,The tale of how the Guardian lent Banshee-44 a hand.,Crucible Quests
The Arach's Champion,2,A Guardian dons the colors of Dead Orbit to arise as the Arach's Champion.,Dead Orbit
Champion of the Cult,2,A Guardian dons the colors of the Future War Cult to arise as its champion.,Future War Cult
Not Forged in Light,12,"The tale of a mysterious weapon, torn out of space and time.",Future War Cult
The Executor's Champion,2,A Guardian dons the colors of the New Monarchy to arise as the Executor's Champion.,New Monarchy
Back in the Saddle,4,The story of a gunsmith who returns to his trade.,Gunsmith
Imprecation,8,"The story of the Last Word, and the words that came before",Gunsmith
A Nod from Cayde,3,Amanda's plan to prove the Guardian's worth to Cayde-6.,Shipwright
Make the Vanguard Smile,3,Amanda's plan to prove the Guardian's worth to Ikora and Zavala,Shipwright
Lost and Found,3,The brief tale of Petra's search for hope.,Queen's Wrath
The Taken War: Petra,8,The tale of Petra Venj and her response to the Taken threat.,Queen's Wrath
Successor to the Throne,2,The story of how the Guardian descended the depths of the Sunless Cell and silenced Alak-Hul the Darkblade.,Crota's Bane
The Wolves of Mars,9,The tale of Variks's struggle to quell the Fallen in this time of turmoil,House of Judgement
The Legion's Beachhead,5,The Guardian's assault on the Cabal Skyburners entrenched on the Dreadnaught.,Cabal
